Variable,Inc_Margin_Coefficient,Economy_Coefficient
const,0.068 (0.113),0.101 (0.053)
RDI_1,-0.001 (0.021),-0.020 (0.010)
RDI_2,-0.013 (0.021),0.026 (0.010)
RDI_3,0.044 (0.028),0.080 (0.013)
RDI_4,0.129 (0.032),0.131 (0.015)
RDI_1,0.006,0.000
RDI_2,0.002,0.000
RDI_3,0.070,0.026
