	(1)	(2)	(3)
VARIABLES	economy	inc_margin	economy
			
RDI_1	-0.13	-0.00093	-0.020
	(0.061)	(0.021)	(0.0098)
RDI_2	0.16	-0.013	0.026
	(0.061)	(0.021)	(0.0098)
RDI_3	0.49	0.044	0.080
	(0.081)	(0.028)	(0.013)
RDI_4	0.81	0.13	0.13
	(0.093)	(0.032)	(0.015)
Constant	2.87	0.068	0.10
	(0.33)	(0.11)	(0.053)
			
Observations	17	17	17
R-squared	0.916	0.640	0.916
rmse	0.63	0.22	0.10
Standard errors in parentheses			
