	(1)	(2)	(3)
VARIABLES	econ_pc_	economy	economy
			
RDI_1	0.22***	0.11	0.18**
	(0.062)	(0.081)	(0.080)
RDI_2	0.43***	0.26***	0.33***
	(0.055)	(0.074)	(0.073)
RDI_3	0.49***	0.40***	0.47***
	(0.064)	(0.083)	(0.082)
RDI_4	0.72***	0.69***	0.64***
	(0.058)	(0.069)	(0.068)
Constant	2.63***	2.53***	2.29***
	(0.24)	(0.36)	(0.36)
			
Observations	25	25	25
R-squared	0.945	0.889	0.894
rmse	0.60	0.72	0.71
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
